,PlayerW,PlayerB,EloW,EloB,ECO,Result,Year
0,Howell,Carlsen,2663,2852,C89,½-½,2023
1,Carlsen,Hammer,2852,2630,A06,1-0,2023
2,Carlsen,Tallaksen,2852,2326,C84,1-0,2023
3,Erigaisi Arjun,Carlsen,2722,2859,A05,0-1,2023
4,Carlsen,Praggnanandhaa R,2859,2684,A35,½-½,2023
5,Carlsen,So,2859,2760,E42,½-½,2023
6,Maghsoodloo,Carlsen,2719,2859,D35,0-1,2023
7,Carlsen,Gukesh D,2859,2725,D38,½-½,2023
8,Caruana,Carlsen,2766,2859,C88,0-1,2023
9,Carlsen,Rapport,2859,2740,C42,1-0,2023
10,Van Foreest,Carlsen,2681,2859,B47,½-½,2023
11,Carlsen,Abdusattorov,2859,2713,A35,0-1,2023
12,Giri,Carlsen,2764,2859,E15,1-0,2023
13,Carlsen,Ding,2859,2811,D02,½-½,2023
14,Keymer,Carlsen,2696,2859,D91,0-1,2023
15,Carlsen,Aronian,2859,2735,E06,½-½,2023
16,Carlsen,Abdusattorov,2859,2713,C77,1-0,2022
17,Carlsen,Martirosyan,2859,2682,A01,1-0,2022
18,Carlsen,Madaminov,2859,2438,D76,1-0,2022
19,Carlsen,Keymer,2859,2696,A06,1-0,2022
20,Carlsen,Rapport,2859,2740,C18,1-0,2022
21,Caruana,Carlsen,2766,2859,C88,0-1,2022
22,Nepomniachtchi,Carlsen,2793,2859,C65,1-0,2022
23,Shimanov,Carlsen,2581,2859,C11,0-1,2022
24,Sarana,Carlsen,2668,2859,D35,1-0,2022
25,Carlsen,Tomashevsky,2859,2694,C65,1-0,2022
26,Carlsen,Fedoseev,2859,2688,E06,½-½,2022
27,Carlsen,Mamedyarov,2859,2740,C80,½-½,2022
28,Carlsen,Tsydypov,2859,2534,A01,1-0,2022
29,Carlsen,Yu,2859,2728,E10,½-½,2022
30,Dubov,Carlsen,2708,2859,A46,½-½,2022
31,Giri,Carlsen,2764,2859,C18,0-1,2022
32,Nakamura,Carlsen,2768,2859,D41,½-½,2022
33,Duda,Carlsen,2729,2859,B06,0-1,2022
34,Cheparinov,Carlsen,2688,2859,E06,0-1,2022
35,Kovalev,Carlsen,2623,2859,C01,0-1,2022
36,Artemiev,Carlsen,2701,2859,E37,½-½,2022
37,Carlsen,Maghsoodloo,2859,2719,B67,1-0,2022
38,Carlsen,Keymer,2859,2696,E04,1-0,2022
39,Carlsen,Caruana,2859,2766,E10,½-½,2022
40,Artemiev,Carlsen,2701,2859,E11,1-0,2022
41,Quparadze,Carlsen,2470,2859,C07,0-1,2022
42,Fedoseev,Carlsen,2688,2859,E11,½-½,2022
43,Carlsen,Van Foreest,2859,2690,A13,1-0,2022
44,Carlsen,Dubov,2859,2708,A01,½-½,2022
45,Carlsen,Hansen,2859,2609,A01,1-0,2022
46,Ter Sahakyan,Carlsen,2605,2859,C18,0-1,2022
47,Erigaisi Arjun,Carlsen,2722,2859,A45,½-½,2022
48,Tomashevsky,Carlsen,2694,2859,B06,0-1,2022
49,Carlsen,Abdusattorov,2859,2713,A01,1-0,2022
50,Maghsoodloo,Carlsen,2721,2856,D35,½-½,2022
51,Carlsen,Baldauf,2856,2506,A48,1-0,2022
52,Korobov,Carlsen,2672,2856,D04,0-1,2022
53,Carlsen,Harikrishna,2856,2717,A20,1-0,2022
54,Carlsen,Ostmoe,2865,2466,B10,½-½,2022
55,Carlsen,Naumann,2856,2513,C45,1-0,2022
56,Meshkovs,Carlsen,2566,2856,E10,½-½,2022
57,Carlsen,Niemann,2861,2688,E20,0-1,2022
58,Aronian,Carlsen,2759,2861,E11,½-½,2022
59,Carlsen,Nepomniachtchi,2861,2792,E10,1-0,2022
60,Carlsen,Praggnanandhaa R,2864,2661,B23,0-1,2022
61,Praggnanandhaa R,Carlsen,2661,2864,D38,½-½,2022
62,Carlsen,Praggnanandhaa R,2864,2661,A08,½-½,2022
63,Praggnanandhaa R,Carlsen,2661,2864,B06,1-0,2022
64,Praggnanandhaa R,Carlsen,2661,2864,A40,1-0,2022
65,Carlsen,Praggnanandhaa R,2864,2661,E04,1-0,2022
66,Carlsen,Firouzja,2864,2778,A20,1-0,2022
67,Firouzja,Carlsen,2778,2864,B30,½-½,2022
68,Firouzja,Carlsen,2778,2864,B30,½-½,2022
69,Firouzja,Carlsen,2778,2864,B10,1-0,2022
70,Carlsen,Firouzja,2864,2778,A15,1-0,2022
71,Carlsen,Firouzja,2864,2778,E04,½-½,2022
72,Carlsen,Duda,2864,2740,C65,0-1,2022
73,Duda,Carlsen,2740,2864,E11,1-0,2022
74,Duda,Carlsen,2740,2864,A45,1-0,2022
75,Carlsen,Duda,2864,2740,A01,0-1,2022
76,Carlsen,Duda,2864,2740,D02,1-0,2022
77,Le,Carlsen,2728,2864,D11,0-1,2022
78,Le,Carlsen,2728,2864,E06,½-½,2022
79,Carlsen,Le,2864,2728,C44,½-½,2022
80,Carlsen,Le,2864,2728,A07,1-0,2022
81,Aronian,Carlsen,2775,2864,A40,0-1,2022
82,Carlsen,Aronian,2864,2775,E60,½-½,2022
83,Carlsen,Aronian,2864,2775,E94,½-½,2022
84,Aronian,Carlsen,2775,2864,D02,½-½,2022
85,Niemann,Carlsen,2687,2864,B08,0-1,2022
86,Carlsen,Niemann,2864,2687,B31,0-1,2022
87,Niemann,Carlsen,2687,2864,C07,0-1,2022
88,Carlsen,Niemann,2864,2687,A00,1-0,2022
89,Giri,Carlsen,2760,2864,C02,0-1,2022
90,Carlsen,Giri,2864,2760,A48,1-0,2022
91,Giri,Carlsen,2760,2864,B06,½-½,2022
92,Carlsen,Giri,2864,2760,B90,½-½,2022
93,Vocaturo,Carlsen,2616,2864,B13,½-½,2022
94,Carlsen,Meier,2864,2613,C10,1-0,2022
95,So,Carlsen,2773,2864,C47,½-½,2022
96,Van Foreest,Carlsen,2678,2864,C53,0-1,2022
97,Mamedyarov,Carlsen,2759,2864,D47,½-½,2022
98,Carlsen,Firouzja,2864,2793,D37,0-1,2022
99,Vachier Lagrave,Carlsen,2760,2864,C67,½-½,2022
100,Carlsen,Topalov,2864,2728,B23,½-½,2022
101,Carlsen,Nepomniachtchi,2864,2766,B23,1-0,2022
102,Saric,Carlsen,2680,2864,C87,1-0,2022
103,Carlsen,Dominguez Perez,2864,2754,C42,½-½,2022
104,Firouzja,Carlsen,2793,2864,D43,0-1,2022
105,Nepomniachtchi,Carlsen,2766,2864,A05,0-1,2022
106,Dominguez Perez,Carlsen,2754,2864,C88,1-0,2022
107,Carlsen,Saric,2864,2680,E60,1-0,2022
108,Carlsen,Mamedyarov,2864,2759,D78,1-0,2022
109,Carlsen,So,2864,2773,C53,0-1,2022
110,Carlsen,Vachier Lagrave,2864,2760,B23,1-0,2022
111,Topalov,Carlsen,2728,2864,C55,0-1,2022
112,Carlsen,Van Foreest,2864,2678,C65,1-0,2022
113,So,Carlsen,2773,2864,D10,½-½,2022
114,Carlsen,Van Foreest,2864,2678,A20,1-0,2022
115,Saric,Carlsen,2680,2864,B42,0-1,2022
116,Mamedyarov,Carlsen,2759,2864,D94,1-0,2022
117,Carlsen,Dominguez Perez,2864,2754,A36,½-½,2022
118,Carlsen,Firouzja,2864,2793,E06,½-½,2022
119,Carlsen,Nepomniachtchi,2864,2766,D41,½-½,2022
120,Topalov,Carlsen,2728,2864,B11,0-1,2022
121,Carlsen,Vachier Lagrave,2864,2760,B23,½-½,2022
122,Carlsen,Schitco,2864,2490,A05,½-½,2022
123,Megaranto,Carlsen,2529,2864,E11,0-1,2022
124,Carlsen,Pechac,2864,2594,A20,½-½,2022
125,Carlsen,Stanojoski,2864,2412,D00,1-0,2022
126,Smirnov,Carlsen,2600,2864,B00,0-1,2022
127,Bwalya,Carlsen,2396,2864,E51,0-1,2022
128,Carlsen,Batsuren,2864,2518,D38,1-0,2022
129,Carlsen,Wang,2864,2744,E06,1-0,2022
130,Carlsen,Wang,2864,2744,A07,½-½,2022
131,Giri,Carlsen,2761,2864,E94,½-½,2022
132,Wang,Carlsen,2744,2864,D45,0-1,2022
133,Carlsen,Vachier Lagrave,2864,2750,A20,1-0,2022
134,Anand,Carlsen,2751,2864,B06,1-0,2022
135,Radjabov,Carlsen,2753,2864,D80,½-½,2022
136,Mamedyarov,Carlsen,2759,2864,E60,½-½,2022
137,Carlsen,Topalov,2864,2730,A45,1-0,2022
138,Carlsen,Tari,2864,2654,A45,1-0,2022
139,Carlsen,So,2864,2776,A00,0-1,2022
140,Topalov,Carlsen,2730,2864,C50,½-½,2022
141,Topalov,Carlsen,2730,2864,C50,½-½,2022
142,Carlsen,Vachier Lagrave,2864,2750,D85,½-½,2022
143,Carlsen,Vachier Lagrave,2864,2750,D85,1-0,2022
144,Tari,Carlsen,2654,2864,C47,½-½,2022
145,Tari,Carlsen,2654,2864,B00,1-0,2022
146,Carlsen,Mamedyarov,2864,2759,D78,1-0,2022
147,Anand,Carlsen,2751,2864,C55,½-½,2022
148,Anand,Carlsen,2751,2864,C50,1-0,2022
149,Carlsen,Giri,2864,2761,D41,1-0,2022
150,Carlsen,Radjabov,2864,2753,E06,1-0,2022
151,So,Carlsen,2776,2864,C50,1-0,2022
152,So,Carlsen,2776,2864,D45,½-½,2022
153,Mamedyarov,Carlsen,2771,2864,E61,1-0,2022
154,Carlsen,Mamedyarov,2864,2771,A21,0-1,2022
155,Mamedyarov,Carlsen,2771,2864,E60,½-½,2022
156,Carlsen,Hansen,2864,2606,D85,1-0,2022
157,Hansen,Carlsen,2606,2864,B40,½-½,2022
158,Carlsen,Hansen,2864,2606,D41,1-0,2022
159,Carlsen,Van Foreest,2864,2714,A07,½-½,2022
160,Van Foreest,Carlsen,2714,2864,B12,½-½,2022
161,Van Foreest,Carlsen,2714,2864,C50,½-½,2022
162,Carlsen,Van Foreest,2864,2714,A20,0-1,2022
163,Praggnanandhaa R,Carlsen,2624,2864,D41,0-1,2022
164,Carlsen,Praggnanandhaa R,2864,2624,B31,1-0,2022
